ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,27160576,8978432,4414400,0,1513770,0,35326,0
2,13.9754,13.9754,27340800,8978432,4526376,111976,1530206,16436,51722,16396
3,40.7817,26.8063,27353088,8978432,4590704,176304,1546590,32820,68106,32780
4,50.5937,9.811999999999998,27365376,8978432,4643416,229016,1562974,49204,84490,49164
5,62.2906,11.6969,27381760,8978432,4692504,278104,1579358,65588,100874,65548
6,80.9284,18.6378,27385856,8978432,4737208,322808,1595742,81972,117258,81932
7,97.762,16.833600000000004,27394048,8978432,4781360,366960,1612126,98356,133642,98316
8,104.1915,6.429500000000004,27414528,8978432,4825760,411360,1628510,114740,150026,114700
9,112.3006,8.109099999999998,27435008,8978432,4870584,456184,1644894,131124,166410,131084
10,123.3519,11.051299999999998,27459584,8978432,4913112,498712,1661278,147508,182794,147468
11,141.0225,17.670600000000007,27582464,8978432,5112192,697792,1685854,172084,207370,172044
12,141.962,0.9394999999999811,27586560,8978432,5119944,705544,1685854,172084,207370,172044
13,142.7165,0.7545000000000073,27594752,8978432,5126688,712288,1685854,172084,207370,172044
14,143.437,0.7205000000000155,27598848,8978432,5133368,718968,1685854,172084,207370,172044
15,144.0149,0.5778999999999996,27607040,8978432,5140112,725712,1685854,172084,207370,172044
16,153.8739,9.85899999999998,27783168,8978432,5301160,886760,1702238,188468,223754,188428
17,156.2732,2.399300000000011,27787264,8978432,5308616,894216,1702238,188468,223754,188428
18,158.1414,1.8682000000000016,27795456,8978432,5315824,901424,1702238,188468,223754,188428
19,158.9674,0.8259999999999934,27803648,8978432,5322512,908112,1702238,188468,223754,188428
20,159.7275,0.7600999999999942,27811840,8978432,5329144,914744,1702238,188468,223754,188428
21,170.1989,10.471400000000017,27983872,8978432,5487584,1073184,1718622,204852,240138,204812
22,171.6069,1.407999999999987,27992064,8978432,5495056,1080656,1718622,204852,240138,204812
23,172.8136,1.206700000000012,28000256,8978432,5501712,1087312,1718622,204852,240138,204812
24,173.5028,0.6891999999999996,28004352,8978432,5508216,1093816,1718622,204852,240138,204812
25,174.1611,0.658299999999997,28012544,8978432,5514872,1100472,1718622,204852,240138,204812
