ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,25042944,5308416,3269904,0,1503585,0,34858,0
2,12.2328,12.2328,25284608,5308416,3398048,128144,1520021,16436,51254,16396
3,22.5422,10.309400000000002,25362432,5308416,3471912,202008,1536405,32820,67638,32780
4,32.0343,9.4921,25415680,5308416,3527680,257776,1552789,49204,84022,49164
5,38.5312,6.496899999999997,25473024,5308416,3583240,313336,1569173,65588,100406,65548
6,48.1528,9.6216,25518080,5308416,3633536,363632,1593749,90164,124982,90124
7,55.5901,7.4373000000000005,25571328,5308416,3683264,413360,1610133,106548,141366,106508
8,64.3202,8.7301,25620480,5308416,3733856,463952,1626517,122932,157750,122892
9,71.7867,7.466499999999996,25690112,5308416,3783528,513624,1642901,139316,174134,139276
10,80.6838,8.897100000000009,25763840,5308416,3833416,563512,1659285,155700,190518,155660
11,88.0481,7.3643,25825280,5308416,3882608,612704,1675669,172084,206902,172044
12,96.7728,8.724699999999999,25890816,5308416,3932080,662176,1692053,188468,223286,188428
13,103.3182,6.545400000000001,25952256,5308416,3981064,711160,1708437,204852,239670,204812
14,111.4865,8.168300000000002,26021888,5308416,4029200,759296,1724821,221236,256054,221196
15,118.9011,7.414599999999993,26087424,5308416,4077552,807648,1741205,237620,272438,237580
16,126.8182,7.917100000000005,26148864,5308416,4125624,855720,1757589,254004,288822,253964
17,134.0158,7.197600000000008,26210304,5308416,4173832,903928,1773973,270388,305206,270348
18,142.1432,8.127399999999994,26271744,5308416,4222592,952688,1790357,286772,321590,286732
19,149.7845,7.641300000000001,26337280,5308416,4270224,1000320,1806741,303156,337974,303116
20,157.7505,7.96599999999998,26468352,5308416,4317936,1048032,1823125,319540,354358,319500
21,165.6159,7.865400000000022,26525696,5308416,4365080,1095176,1839509,335924,370742,335884
22,173.5249,7.908999999999992,26583040,5308416,4412912,1143008,1855893,352308,387126,352268
23,182.1696,8.6447,25452544,5308416,3457056,1143008,1528213,352308,59446,352268
24,191.0442,8.874599999999987,25513984,5308416,3504368,1190320,1544597,368692,75830,368652
25,198.7493,7.705100000000016,25559040,5308416,3551792,1237744,1560981,385076,92214,385036
26,206.9839,8.2346,25608192,5308416,3599560,1285512,1577365,401460,108598,401420
27,213.4453,6.461399999999998,25661440,5308416,3646472,1332424,1593749,417844,124982,417804
28,221.8005,8.355199999999996,25718784,5308416,3693984,1379936,1610133,434228,141366,434188
29,228.9916,7.191100000000006,25784320,5308416,3741072,1427024,1626517,450612,157750,450572
30,237.3324,8.340800000000002,25841664,5308416,3788200,1474152,1642901,466996,174134,466956
31,244.8374,7.5049999999999955,25899008,5308416,3835144,1521096,1659285,483380,190518,483340
32,252.753,7.9155999999999835,25960448,5308416,3882208,1568160,1675669,499764,206902,499724
33,260.111,7.358000000000004,26017792,5308416,3929112,1615064,1692053,516148,223286,516108
34,269.0243,8.913299999999992,26075136,5308416,3976200,1662152,1708437,532532,239670,532492
35,276.0693,7.045000000000016,26136576,5308416,4023128,1709080,1724821,548916,256054,548876
36,285.2916,9.222300000000018,26226688,5308416,4076272,1762224,1741205,565300,272438,565260
37,292.2581,6.966499999999996,26288128,5308416,4124048,1810000,1765781,589876,297014,589836
38,301.1684,8.910300000000007,26345472,5308416,4171488,1857440,1782165,606260,313398,606220
39,308.3718,7.203399999999988,26468352,5308416,4218512,1904464,1798549,622644,329782,622604
40,317.5006,9.128800000000012,26525696,5308416,4265464,1951416,1814933,639028,346166,638988
41,324.1474,6.646799999999985,26583040,5308416,4312288,1998240,1831317,655412,362550,655372
42,333.4301,9.282699999999977,26648576,5308416,4359288,2045240,1847701,671796,378934,671756
43,340.1269,6.696799999999996,26705920,5308416,4406136,2092088,1864085,688180,395318,688140
44,350.1358,10.00890000000004,25825280,5570560,3486344,2092088,1880469,704564,59446,688140
45,355.9627,5.826899999999966,25882624,5570560,3533072,2138816,1544597,704564,75830,704524
46,364.735,8.77230000000003,25944064,5570560,3580080,2185824,1560981,720948,92214,720908
