ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24629248,5042176,3006856,0,1503585,0,34858,0
2,12.2958,12.2958,25206784,5308416,3391224,384368,1520021,16436,51254,16396
3,22.2685,9.9727,25288704,5308416,3460904,454048,1536405,32820,67638,32780
4,30.4262,8.157700000000002,25362432,5308416,3518200,511344,1552789,49204,84022,49164
5,35.3395,4.9133,25423872,5308416,3572832,565976,1569173,65588,100406,65548
6,40.6661,5.326599999999999,25485312,5308416,3622224,615368,1585557,81972,116790,81932
7,46.1164,5.450299999999999,25546752,5308416,3671136,664280,1601941,98356,133174,98316
8,51.4079,5.291499999999999,25595904,5308416,3720056,713200,1618325,114740,149558,114700
9,55.8861,4.478200000000001,25657344,5308416,3769416,762560,1634709,131124,165942,131084
10,61.6378,5.7517,25726976,5308416,3817904,811048,1651093,147508,182326,147468
11,66.628,4.9902000000000015,25788416,5308416,3866792,859936,1675669,172084,206902,172044
12,72.1316,5.503600000000006,25845760,5308416,3915936,909080,1692053,188468,223286,188428
13,77.3374,5.205799999999996,25903104,5308416,3963512,956656,1708437,204852,239670,204812
14,82.9826,5.645200000000003,25964544,5308416,4010648,1003792,1724821,221236,256054,221196
15,87.7266,4.744,26025984,5308416,4057840,1050984,1741205,237620,272438,237580
16,93.564,5.837399999999988,26087424,5308416,4105152,1098296,1757589,254004,288822,253964
17,99.5156,5.951600000000013,26144768,5308416,4152272,1145416,1773973,270388,305206,270348
18,104.448,4.932399999999987,26263552,5308416,4200008,1193152,1790357,286772,321590,286732
19,109.0843,4.636300000000006,25509888,5308416,3431824,1193152,1528213,286772,59446,286732
20,114.078,4.993700000000004,25567232,5308416,3478736,1240064,1544597,303156,75830,303116
21,119.4645,5.386499999999998,25624576,5308416,3525152,1286480,1560981,319540,92214,319500
22,123.0391,3.5746000000000038,25686016,5308416,3572240,1333568,1577365,335924,108598,335884
23,128.3828,5.343699999999998,25743360,5308416,3618896,1380224,1593749,352308,124982,352268
24,145.3283,16.94550000000001,25833472,5308416,3700104,1461432,1610133,368692,141366,368652
25,157.9596,12.631299999999982,26083328,5308416,3886624,1647952,1692053,450612,223286,450572
26,158.9423,0.9826999999999941,26095616,5308416,3897832,1659160,1692053,450612,223286,450572
27,159.9395,0.9972000000000207,26103808,5308416,3908016,1669344,1692053,450612,223286,450572
28,160.9873,1.0477999999999952,26116096,5308416,3918600,1679928,1692053,450612,223286,450572
29,162.1345,1.147199999999998,26124288,5308416,3929720,1691048,1692053,450612,223286,450572
30,170.7856,8.651099999999985,26185728,5308416,3977184,1738512,1708437,466996,239670,466956
31,178.7765,7.9909000000000106,26308608,5308416,4076992,1838320,1741205,499764,272438,499724
32,181.8398,3.063299999999998,26398720,5308416,4137848,1899176,1773973,532532,305206,532492
33,183.1533,1.3135000000000048,26411008,5308416,4149872,1911200,1773973,532532,305206,532492
34,184.3291,1.1758000000000095,26419200,5308416,4160648,1921976,1773973,532532,305206,532492
35,191.9779,7.648799999999994,26492928,5308416,4237400,1998728,1806741,565300,337974,565260
36,194.0795,2.1015999999999906,26505216,5308416,4252504,2013832,1806741,565300,337974,565260
37,203.8523,9.772800000000018,25829376,5570560,3553128,2013832,1560981,565300,92214,565260
38,205.2166,1.3642999999999859,25841664,5570560,3564088,2024792,1560981,565300,92214,565260
39,206.4296,1.2129999999999939,25849856,5570560,3574248,2034952,1560981,565300,92214,565260
40,212.6493,6.219700000000017,25931776,5570560,3655096,2115800,1593749,598068,124982,598028
41,213.6924,1.0430999999999813,25939968,5570560,3666040,2126744,1593749,598068,124982,598028
42,226.3075,12.615100000000012,26087424,5570560,3816560,2277264,1667477,671796,198710,671756
43,227.4189,1.1114000000000033,26099712,5570560,3827400,2288104,1667477,671796,198710,671756
44,228.6061,1.18719999999999,26112000,5570560,3842712,2303416,1667477,671796,198710,671756
45,232.4247,3.8186000000000035,26181632,5570560,3908952,2369656,1700245,704564,231478,704524
46,234.4903,2.0655999999999892,26198016,5570560,3927640,2388344,1700245,704564,231478,704524
47,236.2655,1.7752000000000123,26206208,5570560,3938888,2399592,1700245,704564,231478,704524
48,243.6968,7.431299999999993,26279936,5570560,4008824,2469528,1733013,737332,264246,737292
49,246.269,2.5722000000000094,26320896,5570560,4050400,2511104,1749397,753716,280630,753676
50,248.8498,2.580799999999982,26345472,5570560,4076624,2537328,1749397,753716,280630,753676
51,258.1019,9.252100000000013,26451968,5570560,4180944,2641648,1798549,802868,329782,802828
52,259.1739,1.0720000000000027,26464256,5570560,4195392,2656096,1798549,802868,329782,802828
53,260.5549,1.3809999999999718,26476544,5570560,4213632,2674336,1798549,802868,329782,802828
54,269.1719,8.617000000000019,25743360,5570560,3479848,2674336,1831317,835636,51254,802828
55,270.4658,1.2939000000000078,25755648,5570560,3494304,2688792,1536405,835636,67638,819212
56,272.5165,2.050700000000006,25780224,5570560,3520536,2715024,1536405,835636,67638,819212
57,277.4985,4.981999999999971,25878528,5570560,3617960,2812448,1569173,868404,100406,851980
58,278.9864,1.4879000000000246,25899008,5570560,3636376,2830864,1585557,884788,116790,868364
59,281.2774,2.290999999999997,25923584,5570560,3658272,2852760,1585557,884788,116790,868364
60,287.7395,6.462100000000021,25985024,5570560,3723856,2918344,1618325,917556,149558,901132
61,289.6778,1.9382999999999697,26009600,5570560,3750112,2944600,1618325,917556,149558,901132
62,298.0191,8.34129999999999,26124288,5570560,3863616,3058104,1667477,966708,198710,950284
63,301.5651,3.5459999999999923,26161152,5570560,3903384,3097872,1683861,983092,215094,966668
64,303.0036,1.4385000000000332,26177536,5570560,3917832,3112320,1683861,983092,215094,966668
65,306.1623,3.1587000000000103,26226688,5570560,3971136,3165624,1716629,1015860,247862,999436
66,308.4045,2.2421999999999684,26267648,5570560,4012496,3206984,1716629,1015860,247862,999436
67,309.5401,1.1356000000000108,26279936,5570560,4023160,3217648,1716629,1015860,247862,999436
68,313.0626,3.5224999999999795,26324992,5570560,4068688,3263176,1733013,1032244,264246,1015820
69,320.8788,7.816200000000038,26419200,5570560,4166064,3360552,1765781,1065012,297014,1048588
70,321.899,1.0201999999999884,26431488,5570560,4176568,3371056,1765781,1065012,297014,1048588
71,323.7726,1.8736000000000104,26460160,5570560,4206008,3400496,1782165,1081396,313398,1064972
72,328.2095,4.43689999999998,26501120,5570560,4252136,3446624,1798549,1097780,329782,1081356
73,336.1533,7.94380000000001,25788416,5570560,3532752,3446624,1839509,1138740,84022,1081356
74,337.0396,0.8863000000000056,25796608,5570560,3543096,3456968,1839509,1138740,84022,1081356
75,342.1256,5.086000000000013,25894912,5570560,3640640,3554512,1601941,1138740,133174,1130508
76,343.4377,1.3120999999999867,25907200,5570560,3651984,3565856,1601941,1138740,133174,1130508
77,346.3762,2.9384999999999764,25931776,5570560,3678648,3592520,1601941,1138740,133174,1130508
78,349.2185,2.842300000000023,25960448,5570560,3708160,3622032,1618325,1155124,149558,1146892
79,354.6204,5.401900000000012,26034176,5570560,3781752,3695624,1651093,1187892,182326,1179660
80,356.5314,1.9110000000000014,26050560,5570560,3800264,3714136,1651093,1187892,182326,1179660
81,363.192,6.660599999999988,26140672,5570560,3889680,3803552,1700245,1237044,231478,1228812
82,366.7169,3.5249000000000024,26193920,5570560,3943280,3857152,1700245,1237044,231478,1228812
83,368.0321,1.3152000000000044,26202112,5570560,3954552,3868424,1700245,1237044,231478,1228812
84,370.2048,2.1726999999999634,26226688,5570560,3983064,3896936,1716629,1253428,247862,1245196
85,376.0701,5.8653000000000475,26525696,5570560,4064120,3977992,1749397,1286196,280630,1277964
86,377.2201,1.1499999999999773,26562560,5570560,4076424,3990296,1749397,1286196,280630,1277964
87,386.5879,9.367799999999988,26685440,5570560,4199848,4113720,1798549,1335348,329782,1327116
88,387.7949,1.2069999999999936,26701824,5570560,4217416,4131288,1814933,1351732,346166,1343500
89,390.5289,2.7340000000000373,26738688,5570560,4257216,4171088,1814933,1351732,346166,1343500
90,393.6023,3.0733999999999924,26783744,5570560,4305224,4219096,1847701,1384500,378934,1376268
91,396.3522,2.7498999999999683,25993216,5570560,3496448,4219096,1847701,1384500,67638,1376268
92,400.0796,3.7274000000000456,26025984,5570560,3527920,4250568,1847701,1384500,67638,1376268
93,404.0619,3.9822999999999524,26075136,5570560,3576640,4299288,1569173,1384500,100406,1409036
94,407.0049,2.9430000000000405,26128384,5570560,3630312,4352960,1585557,1400884,116790,1425420
95,410.5627,3.557799999999986,26165248,5570560,3668240,4390888,1601941,1417268,133174,1441804
96,412.7913,2.2285999999999717,26189824,5570560,3694496,4417144,1601941,1417268,133174,1441804
97,421.2265,8.435200000000009,26234880,5570560,3740384,4463032,1618325,1433652,149558,1458188
98,428.3175,7.091000000000008,26279936,5570560,3786480,4509128,1634709,1450036,165942,1474572
99,442.0016,13.6841,26324992,5570560,3832600,4555248,1651093,1466420,182326,1490956
100,449.3499,7.348299999999995,26374144,5570560,3878664,4601312,1667477,1482804,198710,1507340
101,456.7883,7.4384000000000015,26419200,5570560,3924808,4647456,1683861,1499188,215094,1523724
