ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,27017216,8712192,4152992,0,1513764,0,35320,0
2,12.5267,12.5267,27504640,8978432,4543248,390256,1530200,16436,51716,16396
3,42.2951,29.7684,27525120,8978432,4613688,460696,1546584,32820,68100,32780
4,62.3521,20.057000000000002,27549696,8978432,4677560,524568,1562968,49204,84484,49164
5,76.0316,13.679499999999997,27557888,8978432,4733544,580552,1579352,65588,100868,65548
6,80.3952,4.363600000000005,27561984,8978432,4783552,630560,1595736,81972,117252,81932
7,83.574,3.1787999999999954,27570176,8978432,4834200,681208,1612120,98356,133636,98316
8,88.9819,5.407899999999998,27590656,8978432,4884112,731120,1628504,114740,150020,114700
9,96.8258,7.843900000000005,27627520,8978432,4952872,799880,1661272,147508,182788,147468
10,99.0899,2.264099999999999,27635712,8978432,4980096,827104,1661272,147508,182788,147468
11,103.3363,4.246399999999994,27652096,8978432,5028872,875880,1685848,172084,207364,172044
12,107.6374,4.301100000000005,27713536,8978432,5078688,925696,1702232,188468,223748,188428
13,114.0793,6.441900000000004,27774976,8978432,5127384,974392,1718616,204852,240132,204812
14,119.0039,4.924599999999998,27844608,8978432,5175336,1022344,1735000,221236,256516,221196
15,123.6474,4.643500000000003,27906048,8978432,5223624,1070632,1751384,237620,272900,237580
16,132.4784,8.830999999999989,27987968,8978432,5289992,1137000,1767768,254004,289284,253964
17,135.5354,3.0570000000000164,28033024,8978432,5319624,1166632,1784152,270388,305668,270348
18,140.7842,5.248799999999989,28160000,8978432,5367672,1214680,1800536,286772,322052,286732
19,148.3991,7.614900000000006,28221440,8978432,5415880,1262888,1816920,303156,338436,303116
20,152.582,4.182899999999989,28286976,8978432,5463552,1310560,1833304,319540,354820,319500
21,157.5898,5.007800000000003,28344320,8978432,5510336,1357344,1849688,335924,371204,335884
22,163.229,5.639200000000017,28405760,8978432,5557800,1404808,1866072,352308,387588,352268
23,168.5505,5.321499999999986,28463104,8978432,5605112,1452120,1882456,368692,403972,368652
24,172.9142,4.363699999999994,28520448,8978432,5653128,1500136,1898840,385076,420356,385036
25,179.223,6.308800000000019,28577792,8978432,5700456,1547464,1915224,401460,436740,401420
26,183.4428,4.219799999999992,28643328,8978432,5748040,1595048,1931608,417844,453124,417804
27,187.3595,3.9166999999999916,28700672,8978432,5794872,1641880,1947992,434228,469508,434188
28,194.135,6.775499999999994,28758016,8978432,5842104,1689112,1964376,450612,485892,450572
29,198.1405,4.005500000000012,28815360,8978432,5889248,1736256,1980760,466996,502276,466956
30,202.1242,3.983699999999999,28876800,8978432,5935920,1782928,1997144,483380,518660,483340
31,210.5358,8.411599999999993,28934144,8978432,5982848,1829856,2013528,499764,535044,499724
