ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,arrayBuffers
1,0,0,24670208,8712192,3666040,0,1373875,35303
2,3.9002,3.9002,25157632,8978432,3972640,306600,1373927,35315
3,13.011,9.1108,25169920,8978432,3986072,320032,1373927,35315
4,14.8682,1.8572000000000006,25169920,8978432,3995552,329512,1373927,35315
5,16.5989,1.7307000000000006,25174016,8978432,4007536,341496,1373927,35315
6,18.5188,1.9198999999999984,25174016,8978432,4017600,351560,1373927,35315
7,20.6716,2.1528000000000027,25174016,8978432,4027048,361008,1373927,35315
8,23.2277,2.556099999999997,25178112,8978432,4036952,370912,1373927,35315
9,25.0688,1.8411000000000008,25178112,8978432,4047448,381408,1373927,35315
10,26.9951,1.9263000000000012,25190400,8978432,4056960,390920,1373927,35315
11,29.058,2.062899999999999,25190400,8978432,4066000,399960,1373927,35315
12,31.0075,1.9495000000000005,25198592,8978432,4075616,409576,1373927,35315
13,33.1691,2.1616,25206784,8978432,4084984,418944,1373927,35315
14,34.8807,1.7115999999999971,25214976,8978432,4094536,428496,1373927,35315
15,36.896,2.0153000000000034,25223168,8978432,4103528,437488,1373927,35315
16,38.5752,1.6792000000000016,25223168,8978432,4112576,446536,1373927,35315
17,40.3982,1.8230000000000004,25227264,8978432,4121472,455432,1373927,35315
18,42.4508,2.052599999999998,25227264,8978432,4130456,464416,1373927,35315
19,44.262,1.8111999999999995,25227264,8978432,4139960,473920,1382119,43507
20,46.003,1.7409999999999997,25227264,8978432,4149096,483056,1382119,43507
21,48.0816,2.0786000000000016,25227264,8978432,4158168,492128,1382119,43507
22,49.813,1.7314000000000007,25227264,8978432,4167128,501088,1382119,43507
23,51.7995,1.9864999999999995,25231360,8978432,4175992,509952,1382119,43507
24,53.62,1.8204999999999956,25235456,8978432,4185208,519168,1382119,43507
25,55.5243,1.9042999999999992,25235456,8978432,4194472,528432,1382119,43507
26,57.4153,1.8910000000000053,25235456,8978432,4203336,537296,1382119,43507
27,59.1768,1.761499999999998,25235456,8978432,4212200,546160,1382119,43507
28,60.8986,1.7218000000000018,25235456,8978432,4221152,555112,1382119,43507
29,62.7077,1.8091000000000008,25235456,8978432,4230016,563976,1382119,43507
30,64.5623,1.8545999999999907,25235456,8978432,4239040,573000,1382119,43507
