ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24379392,8712192,3636800,0,1373873,0,35301,0
2,10.5007,10.5007,24895488,8978432,3961384,324584,1373925,52,35313,12
3,13.1915,2.6907999999999994,24907776,8978432,3980744,343944,1373925,52,35313,12
4,15.4717,2.2802000000000007,24911872,8978432,3993920,357120,1373925,52,35313,12
5,17.0053,1.533599999999998,24911872,8978432,4010840,374040,1373925,52,35313,12
6,19.0452,2.039900000000003,24915968,8978432,4025032,388232,1373925,52,35313,12
7,20.9948,1.9496000000000002,24915968,8978432,4038208,401408,1373925,52,35313,12
8,22.6724,1.6775999999999982,24915968,8978432,4051992,415192,1373925,52,35313,12
9,24.9133,2.2409,24915968,8978432,4065704,428904,1373925,52,35313,12
10,30.0472,5.133900000000001,24932352,8978432,4079136,442336,1373925,52,35313,12
11,32.1911,2.1438999999999986,24932352,8978432,4092704,455904,1373925,52,35313,12
12,34.1229,1.9318000000000026,24932352,8978432,4106144,469344,1373925,52,35313,12
13,35.9336,1.810699999999997,24932352,8978432,4118792,481992,1373925,52,35313,12
14,37.6937,1.7601000000000013,24936448,8978432,4131984,495184,1373925,52,35313,12
15,39.5203,1.8265999999999991,24936448,8978432,4144792,507992,1373925,52,35313,12
16,41.0969,1.5765999999999991,24936448,8978432,4157872,521072,1373925,52,35313,12
17,42.8286,1.7317000000000036,24936448,8978432,4170512,533712,1373925,52,35313,12
18,44.8217,1.9930999999999983,24936448,8978432,4183696,546896,1382117,8244,43505,8204
19,46.9076,2.0859000000000023,24936448,8978432,4196704,559904,1382117,8244,43505,8204
20,48.8419,1.9343000000000004,24936448,8978432,4209464,572664,1382117,8244,43505,8204
21,51.0629,2.2209999999999965,24936448,8978432,4222104,585304,1382117,8244,43505,8204
22,52.6037,1.5408000000000044,24936448,8978432,4234696,597896,1382117,8244,43505,8204
23,54.7067,2.1029999999999944,24936448,8978432,4247192,610392,1382117,8244,43505,8204
24,57.1858,2.4791000000000025,24940544,8978432,4259992,623192,1382117,8244,43505,8204
25,58.7687,1.5829000000000022,24940544,8978432,4272848,636048,1382117,8244,43505,8204
26,60.4847,1.715999999999994,24940544,8978432,4285296,648496,1382117,8244,43505,8204
27,62.2489,1.7642000000000024,24940544,8978432,4297744,660944,1382117,8244,43505,8204
28,63.982,1.7331000000000003,24940544,8978432,4310408,673608,1382117,8244,43505,8204
29,65.6934,1.7113999999999976,24940544,8978432,4322856,686056,1382117,8244,43505,8204
30,67.447,1.7536000000000058,24940544,8978432,4335304,698504,1382117,8244,43505,8204
31,69.3941,1.9470999999999918,24940544,8978432,4347752,710952,1382117,8244,43505,8204
32,71.1123,1.7182000000000102,24952832,8978432,4360200,723400,1382117,8244,43505,8204
33,73.0685,1.9561999999999955,24965120,8978432,4372696,735896,1382117,8244,43505,8204
34,74.6919,1.6234000000000037,24977408,8978432,4385328,748528,1382117,8244,43505,8204
35,76.6968,2.004899999999992,24977408,8978432,4397896,761096,1382117,8244,43505,8204
36,78.0521,1.3552999999999997,24977408,8978432,4410464,773664,1382117,8244,43505,8204
37,79.8827,1.830600000000004,24977408,8978432,4423072,786272,1382117,8244,43505,8204
38,81.7677,1.8850000000000051,24977408,8978432,4435536,798736,1382117,8244,43505,8204
39,83.3857,1.617999999999995,24977408,8978432,4448000,811200,1382117,8244,43505,8204
40,85.0852,1.6995000000000005,24977408,8978432,4460592,823792,1382117,8244,43505,8204
41,86.9016,1.8164000000000016,24977408,8978432,4473056,836256,1382117,8244,43505,8204
42,88.6818,1.7801999999999936,24977408,8978432,4485776,848976,1390309,16436,51697,16396
43,90.5177,1.8359000000000094,24981504,8978432,4498464,861664,1390309,16436,51697,16396
44,92.3129,1.7951999999999941,24981504,8978432,4511160,874360,1390309,16436,51697,16396
45,94.0443,1.7314000000000078,24981504,8978432,4523624,886824,1390309,16436,51697,16396
46,96.0414,1.997099999999989,24981504,8978432,4536264,899464,1390309,16436,51697,16396
47,97.7385,1.697100000000006,24981504,8978432,4548824,912024,1390309,16436,51697,16396
48,99.5034,1.7648999999999972,24981504,8978432,4561288,924488,1390309,16436,51697,16396
49,101.251,1.7476000000000056,24981504,8978432,4573752,936952,1390309,16436,51697,16396
50,103.1538,1.9027999999999992,24981504,8978432,4586304,949504,1390309,16436,51697,16396
51,104.7389,1.585099999999997,24981504,8978432,4598912,962112,1390309,16436,51697,16396
52,106.3748,1.6358999999999924,24981504,8978432,4611400,974600,1390309,16436,51697,16396
53,108.1345,1.7597000000000094,24981504,8978432,4623984,987184,1390309,16436,51697,16396
54,109.7727,1.6381999999999977,24981504,8978432,4636480,999680,1390309,16436,51697,16396
55,111.5401,1.767399999999995,24981504,8978432,4648976,1012176,1390309,16436,51697,16396
56,113.3739,1.8338000000000108,24989696,8978432,4661488,1024688,1390309,16436,51697,16396
57,115.3671,1.9931999999999874,25001984,8978432,4674008,1037208,1390309,16436,51697,16396
58,116.8033,1.4361999999999995,25014272,8978432,4686736,1049936,1390309,16436,51697,16396
