ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24592384,8712192,3565976,0,1405635,0,18474,0
2,3.826,3.826,25059328,8978432,3869992,304016,1357098,0,18486,12
3,5.0554,1.2293999999999996,25071616,8978432,3884080,318104,1357098,0,18486,12
4,6.6596,1.6042000000000005,25075712,8978432,3893760,327784,1357098,0,18486,12
5,8.1464,1.4867999999999997,25075712,8978432,3903840,337864,1357098,0,18486,12
6,9.6196,1.4732000000000003,25075712,8978432,3912600,346624,1357098,0,18486,12
7,11.0824,1.4627999999999997,25075712,8978432,3921936,355960,1357098,0,18486,12
8,12.4986,1.4162,25075712,8978432,3930880,364904,1365290,8192,26678,8204
9,14.002,1.503400000000001,25079808,8978432,3940712,374736,1365290,8192,26678,8204
10,15.2646,1.262599999999999,25092096,8978432,3949160,383184,1365290,8192,26678,8204
11,16.7728,1.5082000000000004,25092096,8978432,3957880,391904,1365290,8192,26678,8204
12,18.1813,1.4085,25092096,8978432,3966592,400616,1365290,8192,26678,8204
13,19.5769,1.3955999999999982,25092096,8978432,3974992,409016,1365290,8192,26678,8204
14,21.0874,1.5105000000000004,25096192,8978432,3984008,418032,1365290,8192,26678,8204
15,22.2559,1.1685000000000016,25096192,8978432,3992400,426424,1365290,8192,26678,8204
16,23.7152,1.459299999999999,25096192,8978432,4000944,434968,1365290,8192,26678,8204
17,25.0988,1.3836000000000013,25096192,8978432,4009288,443312,1365290,8192,26678,8204
18,26.4948,1.3960000000000008,25096192,8978432,4017568,451592,1365290,8192,26678,8204
19,27.6087,1.1138999999999974,25096192,8978432,4025656,459680,1365290,8192,26678,8204
20,28.8605,1.2517999999999994,25096192,8978432,4033912,467936,1365290,8192,26678,8204
21,30.2442,1.383700000000001,25096192,8978432,4042176,476200,1365290,8192,26678,8204
22,31.591,1.3468000000000018,25096192,8978432,4050528,484552,1365290,8192,26678,8204
23,32.7248,1.1338000000000008,25100288,8978432,4059000,493024,1365290,8192,26678,8204
24,33.8412,1.1163999999999987,25104384,8978432,4067656,501680,1365290,8192,26678,8204
25,35.19,1.3487999999999971,25104384,8978432,4076264,510288,1365290,8192,26678,8204
26,36.4375,1.2475000000000023,25104384,8978432,4084456,518480,1365290,8192,26678,8204
27,37.4949,1.0574000000000012,25104384,8978432,4092624,526648,1365290,8192,26678,8204
28,38.6587,1.163800000000002,25108480,8978432,4100832,534856,1365290,8192,26678,8204
29,39.9224,1.2637,25108480,8978432,4109000,543024,1365290,8192,26678,8204
30,41.2538,1.331399999999995,25108480,8978432,4117136,551160,1365290,8192,26678,8204
31,42.8847,1.630900000000004,25108480,8978432,4125304,559328,1365290,8192,26678,8204
32,44.0211,1.1363999999999947,25108480,8978432,4133664,567688,1365290,8192,26678,8204
33,45.2465,1.2254000000000005,25108480,8978432,4141896,575920,1365290,8192,26678,8204
34,46.4437,1.1972000000000023,25108480,8978432,4150224,584248,1365290,8192,26678,8204
35,47.6955,1.251800000000003,25108480,8978432,4158456,592480,1365290,8192,26678,8204
36,48.8136,1.1180999999999983,25108480,8978432,4166792,600816,1365290,8192,26678,8204
37,49.9933,1.1796999999999969,25108480,8978432,4175120,609144,1365290,8192,26678,8204
38,51.2256,1.2323000000000022,25108480,8978432,4183416,617440,1365290,8192,26678,8204
39,52.862,1.6364000000000019,25108480,8978432,4191600,625624,1365290,8192,26678,8204
40,54.03,1.1679999999999993,25112576,8978432,4199912,633936,1365290,8192,26678,8204
41,55.2997,1.2697000000000003,25112576,8978432,4208320,642344,1373482,16384,34870,16396
42,56.8938,1.5940999999999974,25112576,8978432,4216680,650704,1373482,16384,34870,16396
43,58.5638,1.6700000000000017,25112576,8978432,4224864,658888,1373482,16384,34870,16396
44,59.6194,1.0555999999999983,25112576,8978432,4233048,667072,1373482,16384,34870,16396
45,60.85,1.2306000000000026,25112576,8978432,4241232,675256,1373482,16384,34870,16396
46,61.9426,1.0925999999999974,25112576,8978432,4249488,683512,1373482,16384,34870,16396
47,63.0719,1.1293000000000006,25112576,8978432,4257704,691728,1373482,16384,34870,16396
48,64.3296,1.2576999999999998,25112576,8978432,4265968,699992,1373482,16384,34870,16396
49,65.6129,1.283299999999997,25112576,8978432,4274152,708176,1373482,16384,34870,16396
50,66.7047,1.0918000000000063,25112576,8978432,4282336,716360,1373482,16384,34870,16396
51,67.8114,1.1067000000000036,25112576,8978432,4290520,724544,1373482,16384,34870,16396
52,68.9314,1.1199999999999903,25112576,8978432,4298704,732728,1373482,16384,34870,16396
53,70.0531,1.1217000000000041,25112576,8978432,4306888,740912,1373482,16384,34870,16396
54,71.2581,1.2049999999999983,25112576,8978432,4315072,749096,1373482,16384,34870,16396
55,72.3584,1.1003000000000043,25112576,8978432,4323384,757408,1373482,16384,34870,16396
56,73.514,1.1555999999999926,25112576,8978432,4331568,765592,1373482,16384,34870,16396
57,74.5965,1.0825000000000102,25112576,8978432,4339752,773776,1373482,16384,34870,16396
58,75.7241,1.127600000000001,25116672,8978432,4347936,781960,1373482,16384,34870,16396
59,76.8128,1.0886999999999887,25124864,8978432,4356144,790168,1373482,16384,34870,16396
60,77.9174,1.104600000000005,25137152,8978432,4364352,798376,1373482,16384,34870,16396
61,78.9113,0.9938999999999965,25141248,8978432,4372584,806608,1373482,16384,34870,16396
62,80.1621,1.2507999999999981,25141248,8978432,4381032,815056,1373482,16384,34870,16396
