ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24698880,8712192,3560056,0,1406534,0,18474,0
2,6.0222,6.0222,25202688,8978432,3888336,328280,1360254,0,18563,89
3,7.9166,1.8944,25231360,8978432,3908960,348904,1360331,77,18640,166
4,9.4468,1.5301999999999998,25231360,8978432,3921968,361912,1360408,154,18717,243
5,10.9942,1.5473999999999997,25235456,8978432,3937528,377472,1360485,231,18794,320
6,12.6241,1.629900000000001,25235456,8978432,3951376,391320,1360562,308,18871,397
7,14.5059,1.8818000000000001,25239552,8978432,3964704,404648,1360639,385,18948,474
8,16.0517,1.5457999999999998,25243648,8978432,3977696,417640,1360716,462,19025,551
9,17.4828,1.4311000000000007,25251840,8978432,3990504,430448,1360793,539,19102,628
10,19.0729,1.5900999999999996,25260032,8978432,4002816,442760,1360870,616,19179,705
11,20.5803,1.5074000000000005,25264128,8978432,4015200,455144,1369139,8885,27448,8974
12,22.2086,1.6282999999999994,25264128,8978432,4027920,467864,1369216,8962,27525,9051
13,23.777,1.5684000000000005,25264128,8978432,4039656,479600,1369293,9039,27602,9128
14,25.2522,1.4751999999999974,25268224,8978432,4051848,491792,1369370,9116,27679,9205
15,26.8172,1.5650000000000013,25272320,8978432,4064872,504816,1369447,9193,27756,9282
16,28.4391,1.6219000000000001,25272320,8978432,4077152,517096,1369524,9270,27833,9359
17,31.0803,2.6412000000000013,25272320,8978432,4088848,528792,1369601,9347,27910,9436
18,33.0655,1.985199999999999,25272320,8978432,4100968,540912,1369678,9424,27987,9513
19,34.7001,1.634599999999999,25272320,8978432,4112688,552632,1369755,9501,28064,9590
20,36.7387,2.0386000000000024,25272320,8978432,4125112,565056,1369832,9578,28141,9667
21,39.1971,2.4583999999999975,25276416,8978432,4136928,576872,1369909,9655,28218,9744
22,41.0311,1.8340000000000032,25276416,8978432,4148808,588752,1369986,9732,28295,9821
23,42.9102,1.879100000000001,25276416,8978432,4160712,600656,1370063,9809,28372,9898
24,45.2158,2.3055999999999983,25276416,8978432,4172568,612512,1370140,9886,28449,9975
25,47.0361,1.820299999999996,25276416,8978432,4184664,624608,1370217,9963,28526,10052
26,48.8408,1.804700000000004,25276416,8978432,4196464,636408,1370294,10040,28603,10129
27,50.6798,1.8389999999999986,25284608,8978432,4208368,648312,1370371,10117,28680,10206
28,52.2683,1.5885000000000034,25296896,8978432,4220288,660232,1370448,10194,28757,10283
29,54.2019,1.9335999999999984,25309184,8978432,4232256,672200,1370525,10271,28834,10360
30,56.1402,1.9382999999999981,25309184,8978432,4244088,684032,1370602,10348,28911,10437
31,57.7934,1.6531999999999982,25309184,8978432,4255824,695768,1370679,10425,28988,10514
32,59.7526,1.9592000000000027,25309184,8978432,4267560,707504,1370756,10502,29065,10591
33,61.1949,1.442299999999996,25309184,8978432,4279240,719184,1370833,10579,29142,10668
34,62.9336,1.7387000000000015,25309184,8978432,4290888,730832,1370910,10656,29219,10745
35,64.9052,1.9715999999999951,25309184,8978432,4302536,742480,1370987,10733,29296,10822
36,66.5029,1.5977000000000032,25309184,8978432,4314248,754192,1371064,10810,29373,10899
37,68.4355,1.9326000000000079,25309184,8978432,4325896,765840,1371141,10887,29450,10976
38,70.3485,1.9129999999999967,25309184,8978432,4337544,777488,1371218,10964,29527,11053
39,71.7422,1.3936999999999955,25309184,8978432,4349256,789200,1371295,11041,29604,11130
40,73.6597,1.917500000000004,25309184,8978432,4361032,800976,1371372,11118,29681,11207
41,75.6826,2.022899999999993,25309184,8978432,4372872,812816,1371449,11195,29758,11284
42,77.3249,1.6423000000000059,25313280,8978432,4384584,824528,1371526,11272,29835,11361
43,79.2314,1.906499999999994,25317376,8978432,4396280,836224,1371603,11349,29912,11438
44,81.0949,1.863500000000002,25317376,8978432,4408016,847960,1371680,11426,29989,11515
45,82.6134,1.518500000000003,25317376,8978432,4419664,859608,1371757,11503,30066,11592
46,84.5219,1.9085000000000036,25317376,8978432,4431568,871512,1371834,11580,30143,11669
47,86.4845,1.9625999999999948,25317376,8978432,4443408,883352,1371911,11657,30220,11746
48,88.4187,1.9342000000000041,25317376,8978432,4455056,895000,1371988,11734,30297,11823
49,89.8626,1.4438999999999993,25317376,8978432,4466704,906648,1372065,11811,30374,11900
50,91.8109,1.9483000000000033,25317376,8978432,4478440,918384,1372142,11888,30451,11977
51,93.5653,1.7543999999999897,25317376,8978432,4490216,930160,1372219,11965,30528,12054
52,95.2958,1.7305000000000064,25317376,8978432,4501880,941824,1372296,12042,30605,12131
53,97.1064,1.8105999999999938,25317376,8978432,4513544,953488,1372373,12119,30682,12208
54,99.0205,1.9141000000000048,25317376,8978432,4525208,965152,1372450,12196,30759,12285
55,100.8847,1.8641999999999967,25317376,8978432,4536952,976896,1372527,12273,30836,12362
56,102.5704,1.6857000000000113,25317376,8978432,4548632,988576,1372604,12350,30913,12439
57,104.5603,1.9898999999999916,25321472,8978432,4560392,1000336,1372681,12427,30990,12516
58,106.4562,1.8958999999999975,25321472,8978432,4572176,1012120,1372758,12504,31067,12593
