ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24174592,5828608,4005304,0,1396219,0,57647,0
2,6.3187,6.3187,25284608,8978432,3847240,0,1396271,52,18486,0
3,7.9096,1.5909000000000004,25292800,8978432,3861624,14384,1396271,52,18486,0
4,9.5981,1.6885000000000003,25292800,8978432,3872680,25440,1396271,52,18486,0
5,10.97,1.3719000000000001,25296896,8978432,3884272,37032,1396271,52,18486,0
6,12.3152,1.3452000000000002,25296896,8978432,3893872,46632,1396271,52,18486,0
7,13.4651,1.1498999999999988,25300992,8978432,3904344,57104,1396271,52,18486,0
8,14.7796,1.3145000000000007,25300992,8978432,3913664,66424,1396271,52,18486,0
9,15.8328,1.0532000000000004,25300992,8978432,3922680,75440,1396271,52,18486,0
10,17.1728,1.339999999999998,25313280,8978432,3931744,84504,1396271,52,18486,0
11,18.3907,1.2179000000000002,25313280,8978432,3940896,93656,1396271,52,18486,0
12,19.5244,1.133700000000001,25313280,8978432,3950248,103008,1396271,52,18486,0
13,20.7446,1.2201999999999984,25317376,8978432,3959624,112384,1396271,52,18486,0
14,21.8868,1.1422000000000025,25317376,8978432,3968872,121632,1396271,52,18486,0
15,23.1853,1.2985000000000007,25317376,8978432,3978160,130920,1396271,52,18486,0
16,24.3786,1.1932999999999971,25317376,8978432,3987504,140264,1396271,52,18486,0
17,25.6225,1.2439,25317376,8978432,3996400,149160,1396271,52,18486,0
18,26.8594,1.236900000000002,25317376,8978432,4005440,158200,1396271,52,18486,0
19,27.9665,1.107099999999999,25321472,8978432,4014304,167064,1396271,52,18486,0
20,29.272,1.3054999999999986,25321472,8978432,4023304,176064,1396271,52,18486,0
21,30.6453,1.3733000000000004,25321472,8978432,4032288,185048,1365290,52,26678,8192
22,32.0603,1.4149999999999991,25325568,8978432,4042240,195000,1365290,52,26678,8192
23,33.24,1.179700000000004,25329664,8978432,4050992,203752,1365290,52,26678,8192
24,34.376,1.1359999999999957,25329664,8978432,4059912,212672,1365290,52,26678,8192
25,35.5653,1.189300000000003,25329664,8978432,4068688,221448,1365290,52,26678,8192
26,36.7177,1.1524,25329664,8978432,4077896,230656,1365290,52,26678,8192
27,37.8408,1.1231000000000009,25329664,8978432,4086808,239568,1365290,52,26678,8192
28,39.1137,1.2729,25329664,8978432,4095752,248512,1365290,52,26678,8192
29,40.4155,1.3018,25329664,8978432,4104504,257264,1365290,52,26678,8192
30,41.5012,1.0856999999999957,25329664,8978432,4113408,266168,1365290,52,26678,8192
31,42.5037,1.0025000000000048,25329664,8978432,4122200,274960,1365290,52,26678,8192
32,43.5321,1.0283999999999978,25329664,8978432,4131304,284064,1365290,52,26678,8192
33,44.5662,1.0341000000000022,25329664,8978432,4140136,292896,1365290,52,26678,8192
34,45.5635,0.9972999999999956,25329664,8978432,4149080,301840,1365290,52,26678,8192
35,46.5945,1.0309999999999988,25329664,8978432,4157872,310632,1365290,52,26678,8192
36,47.6134,1.0189000000000021,25329664,8978432,4167032,319792,1365290,52,26678,8192
37,48.6063,0.9928999999999988,25333760,8978432,4176256,329016,1365290,52,26678,8192
38,49.6971,1.0908000000000015,25333760,8978432,4185256,338016,1365290,52,26678,8192
39,50.7588,1.0617000000000019,25333760,8978432,4194016,346776,1365290,52,26678,8192
40,51.8017,1.042899999999996,25333760,8978432,4203056,355816,1365290,52,26678,8192
41,52.9029,1.1012000000000057,25333760,8978432,4211896,364656,1365290,52,26678,8192
42,53.9078,1.0048999999999992,25333760,8978432,4220840,373600,1365290,52,26678,8192
43,54.8991,0.9912999999999954,25333760,8978432,4229600,382360,1365290,52,26678,8192
44,55.9062,1.0071000000000012,25333760,8978432,4238512,391272,1365290,52,26678,8192
45,56.9763,1.0701000000000036,25333760,8978432,4247272,400032,1365290,52,26678,8192
46,58.0142,1.0379000000000005,25333760,8978432,4256344,409104,1365290,52,26678,8192
47,59.0722,1.0579999999999998,25333760,8978432,4265168,417928,1365290,52,26678,8192
48,60.1235,1.0512999999999977,25333760,8978432,4274080,426840,1365290,52,26678,8192
49,61.1782,1.0546999999999969,25333760,8978432,4283096,435856,1365290,52,26678,8192
50,62.2227,1.0445000000000064,25333760,8978432,4292008,444768,1365290,52,26678,8192
51,63.315,1.0922999999999945,25333760,8978432,4300848,453608,1365290,52,26678,8192
52,64.2459,0.9309000000000083,25333760,8978432,4309760,462520,1365290,52,26678,8192
53,65.3949,1.149000000000001,25333760,8978432,4318496,471256,1365290,52,26678,8192
54,66.5165,1.1215999999999866,25341952,8978432,4327408,480168,1365290,52,26678,8192
55,67.6892,1.172700000000006,25350144,8978432,4336320,489080,1365290,52,26678,8192
56,69.1195,1.4303000000000026,25362432,8978432,4345256,498016,1365290,52,26678,8192
57,70.3156,1.1961000000000013,25370624,8978432,4354064,506824,1365290,52,26678,8192
58,71.4002,1.0845999999999947,25370624,8978432,4363048,515808,1365290,52,26678,8192
59,72.4747,1.0745000000000005,25370624,8978432,4371856,524616,1365290,52,26678,8192
60,73.4204,0.9457000000000022,25370624,8978432,4380816,533576,1365290,52,26678,8192
61,74.401,0.9805999999999955,25370624,8978432,4389624,542384,1365290,52,26678,8192
62,75.4146,1.0135999999999967,25370624,8978432,4398632,551392,1365290,52,26678,8192
63,76.3109,0.8963000000000108,25370624,8978432,4407440,560200,1365290,52,26678,8192
64,77.2218,0.910899999999998,25370624,8978432,4416400,569160,1365290,52,26678,8192
65,78.253,1.0311999999999983,25370624,8978432,4425208,577968,1365290,52,26678,8192
66,79.2241,0.971100000000007,25370624,8978432,4434168,586928,1365290,52,26678,8192
67,80.1888,0.9646999999999935,25370624,8978432,4442976,595736,1365290,52,26678,8192
68,81.1346,0.9458000000000055,25370624,8978432,4451936,604696,1365290,52,26678,8192
69,82.0527,0.9180999999999955,25370624,8978432,4460744,613504,1365290,52,26678,8192
70,83.0063,0.9535999999999945,25370624,8978432,4469704,622464,1365290,52,26678,8192
71,84.0635,1.0572000000000088,25370624,8978432,4478512,631272,1365290,52,26678,8192
72,85.1533,1.0897999999999968,25370624,8978432,4487472,640232,1365290,52,26678,8192
