ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24387584,6090752,4022224,0,1396219,0,57647,0
2,4.3228,4.3228,25169920,8978432,3815976,0,1396271,52,18486,0
3,5.5812,1.2584,25182208,8978432,3828744,12768,1396271,52,18486,0
4,6.776,1.1947999999999999,25186304,8978432,3837768,21792,1396271,52,18486,0
5,7.7917,1.0156999999999998,25186304,8978432,3847368,31392,1396271,52,18486,0
6,8.944,1.1523000000000012,25186304,8978432,3855360,39384,1396271,52,18486,0
7,10.2479,1.3038999999999987,25186304,8978432,3862704,46728,1396271,52,18486,0
8,11.2149,0.9670000000000005,25186304,8978432,3870024,54048,1396271,52,18486,0
9,12.1752,0.9603000000000002,25190400,8978432,3878192,62216,1396271,52,18486,0
10,13.32,1.1448,25202688,8978432,3886024,70048,1396271,52,18486,0
11,14.4405,1.1204999999999998,25202688,8978432,3893640,77664,1396271,52,18486,0
12,15.9988,1.5582999999999991,25202688,8978432,3901160,85184,1396271,52,18486,0
13,16.9909,0.9921000000000006,25202688,8978432,3908376,92400,1396271,52,18486,0
14,17.7856,0.7946999999999989,25202688,8978432,3915952,99976,1396271,52,18486,0
15,18.7728,0.9872000000000014,25206784,8978432,3923368,107392,1396271,52,18486,0
16,19.6041,0.8312999999999988,25206784,8978432,3930696,114720,1396271,52,18486,0
17,20.338,0.733900000000002,25206784,8978432,3937928,121952,1396271,52,18486,0
18,21.1111,0.7730999999999995,25206784,8978432,3945168,129192,1396271,52,18486,0
19,22.0455,0.9344000000000001,25206784,8978432,3952408,136432,1396271,52,18486,0
20,22.7988,0.7532999999999994,25206784,8978432,3959560,143584,1396271,52,18486,0
21,23.6491,0.8503000000000007,25206784,8978432,3966968,150992,1365290,52,26678,8192
22,24.6605,1.0113999999999983,25206784,8978432,3975856,159880,1365290,52,26678,8192
23,25.4654,0.8049,25206784,8978432,3983048,167072,1365290,52,26678,8192
24,26.2558,0.7904000000000018,25206784,8978432,3990312,174336,1365290,52,26678,8192
25,27.0733,0.817499999999999,25206784,8978432,3997504,181528,1365290,52,26678,8192
26,27.8097,0.7363999999999997,25206784,8978432,4004824,188848,1365290,52,26678,8192
27,28.5857,0.7759999999999998,25210880,8978432,4012160,196184,1365290,52,26678,8192
28,29.4251,0.8394000000000013,25210880,8978432,4019392,203416,1365290,52,26678,8192
29,30.2752,0.8501000000000012,25210880,8978432,4026536,210560,1365290,52,26678,8192
30,31.2335,0.9582999999999977,25210880,8978432,4033680,217704,1365290,52,26678,8192
31,31.9689,0.735400000000002,25210880,8978432,4040824,224848,1365290,52,26678,8192
32,32.8431,0.8741999999999983,25214976,8978432,4048128,232152,1365290,52,26678,8192
33,33.8315,0.9883999999999986,25219072,8978432,4055360,239384,1365290,52,26678,8192
34,34.6104,0.7789000000000001,25219072,8978432,4062528,246552,1365290,52,26678,8192
35,35.3978,0.7873999999999981,25219072,8978432,4069672,253696,1365290,52,26678,8192
36,36.216,0.8182000000000045,25219072,8978432,4076816,260840,1365290,52,26678,8192
37,37.0263,0.810299999999998,25219072,8978432,4084120,268144,1365290,52,26678,8192
38,37.9743,0.9480000000000004,25219072,8978432,4091328,275352,1365290,52,26678,8192
39,38.7436,0.7693000000000012,25219072,8978432,4098472,282496,1365290,52,26678,8192
40,39.6505,0.9069000000000003,25219072,8978432,4105744,289768,1365290,52,26678,8192
41,40.5722,0.9217000000000013,25219072,8978432,4112968,296992,1365290,52,26678,8192
42,41.7214,1.1492000000000004,25219072,8978432,4121280,305304,1365290,52,26678,8192
43,42.6073,0.8858999999999995,25219072,8978432,4128424,312448,1365290,52,26678,8192
44,43.4088,0.8014999999999972,25219072,8978432,4135568,319592,1365290,52,26678,8192
45,44.2303,0.8215000000000003,25219072,8978432,4142712,326736,1365290,52,26678,8192
46,45.0327,0.8023999999999987,25219072,8978432,4149856,333880,1365290,52,26678,8192
47,45.8432,0.8105000000000047,25219072,8978432,4157000,341024,1365290,52,26678,8192
48,46.6699,0.8266999999999953,25219072,8978432,4164144,348168,1365290,52,26678,8192
49,47.4092,0.7393000000000001,25219072,8978432,4171544,355568,1365290,52,26678,8192
50,48.1862,0.777000000000001,25219072,8978432,4178688,362712,1365290,52,26678,8192
51,49.0392,0.8530000000000015,25219072,8978432,4185912,369936,1365290,52,26678,8192
52,49.8262,0.786999999999999,25219072,8978432,4193056,377080,1365290,52,26678,8192
53,50.7152,0.8890000000000029,25219072,8978432,4200176,384200,1365290,52,26678,8192
54,51.5764,0.8611999999999966,25219072,8978432,4207320,391344,1365290,52,26678,8192
55,52.3915,0.815100000000001,25219072,8978432,4214592,398616,1365290,52,26678,8192
56,53.2688,0.8772999999999982,25219072,8978432,4221736,405760,1365290,52,26678,8192
57,54.0764,0.8076000000000008,25223168,8978432,4228880,412904,1365290,52,26678,8192
58,54.8969,0.8205000000000027,25223168,8978432,4236072,420096,1365290,52,26678,8192
59,55.6674,0.7704999999999984,25223168,8978432,4243264,427288,1365290,52,26678,8192
60,56.4557,0.7882999999999996,25223168,8978432,4250456,434480,1365290,52,26678,8192
61,57.1911,0.7353999999999985,25223168,8978432,4257648,441672,1365290,52,26678,8192
62,57.867,0.6758999999999986,25223168,8978432,4264840,448864,1365290,52,26678,8192
