ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24399872,6090752,4021552,0,1396219,0,57647,0
2,6.6581,6.6581,25227264,8978432,3838520,0,1396271,52,18486,0
3,7.2661,0.6079999999999997,25239552,8978432,3849272,10752,1396271,52,18486,0
4,7.8243,0.5582000000000003,25239552,8978432,3856312,17792,1396271,52,18486,0
5,8.2946,0.47030000000000083,25243648,8978432,3865024,26504,1396271,52,18486,0
6,8.7664,0.4718,25243648,8978432,3872696,34176,1396271,52,18486,0
7,9.1794,0.4129999999999985,25243648,8978432,3878728,40208,1396271,52,18486,0
8,9.5953,0.4159000000000006,25243648,8978432,3885256,46736,1396271,52,18486,0
9,9.9872,0.3918999999999997,25247744,8978432,3892152,53632,1396271,52,18486,0
10,10.6443,0.6570999999999998,25260032,8978432,3898104,59584,1396271,52,18486,0
11,11.0245,0.3802000000000003,25260032,8978432,3904016,65496,1396271,52,18486,0
12,11.4482,0.4237000000000002,25260032,8978432,3910072,71552,1396271,52,18486,0
13,11.8383,0.39010000000000034,25260032,8978432,3915976,77456,1396271,52,18486,0
14,12.1802,0.341899999999999,25260032,8978432,3922104,83584,1396271,52,18486,0
15,12.5448,0.36460000000000115,25260032,8978432,3928352,89832,1365290,52,26678,8192
16,12.9385,0.39369999999999905,25260032,8978432,3935376,96856,1365290,52,26678,8192
17,13.312,0.37349999999999994,25264128,8978432,3941248,102728,1365290,52,26678,8192
18,13.692,0.3800000000000008,25264128,8978432,3947304,108784,1365290,52,26678,8192
19,14.0425,0.35050000000000026,25268224,8978432,3953312,114792,1365290,52,26678,8192
20,14.558,0.5154999999999994,25268224,8978432,3959456,120936,1365290,52,26678,8192
21,14.9296,0.3716000000000008,25268224,8978432,3965584,127064,1365290,52,26678,8192
22,15.217,0.2873999999999999,25268224,8978432,3972072,133552,1365290,52,26678,8192
23,15.5424,0.32540000000000013,25268224,8978432,3977880,139360,1365290,52,26678,8192
24,15.9177,0.3752999999999993,25268224,8978432,3983776,145256,1365290,52,26678,8192
25,16.2938,0.376100000000001,25268224,8978432,3989816,151296,1365290,52,26678,8192
26,16.6438,0.34999999999999787,25268224,8978432,3995688,157168,1365290,52,26678,8192
27,16.9706,0.3268000000000022,25268224,8978432,4001616,163096,1365290,52,26678,8192
28,17.3815,0.41089999999999804,25268224,8978432,4007488,168968,1365290,52,26678,8192
29,17.7525,0.3710000000000022,25268224,8978432,4013272,174752,1365290,52,26678,8192
30,18.1497,0.397199999999998,25268224,8978432,4019056,180536,1365290,52,26678,8192
31,18.633,0.48329999999999984,25268224,8978432,4024864,186344,1365290,52,26678,8192
32,18.948,0.3150000000000013,25268224,8978432,4030808,192288,1365290,52,26678,8192
33,19.3775,0.4295000000000009,25268224,8978432,4036656,198136,1365290,52,26678,8192
34,19.684,0.3064999999999998,25268224,8978432,4042440,203920,1365290,52,26678,8192
35,20.1088,0.4247999999999976,25272320,8978432,4048224,209704,1365290,52,26678,8192
36,20.465,0.3562000000000012,25272320,8978432,4054080,215560,1365290,52,26678,8192
37,20.8411,0.376100000000001,25272320,8978432,4060152,221632,1365290,52,26678,8192
38,21.2879,0.44679999999999964,25276416,8978432,4066008,227488,1365290,52,26678,8192
39,21.6058,0.3178999999999981,25280512,8978432,4071840,233320,1365290,52,26678,8192
40,22.0023,0.3965000000000032,25288704,8978432,4077800,239280,1365290,52,26678,8192
41,22.49,0.4876999999999967,25288704,8978432,4083704,245184,1365290,52,26678,8192
42,22.8907,0.4007000000000005,25288704,8978432,4090640,252120,1365290,52,26678,8192
43,23.2998,0.40910000000000224,25288704,8978432,4096472,257952,1365290,52,26678,8192
44,23.5981,0.29829999999999757,25288704,8978432,4102328,263808,1365290,52,26678,8192
45,24.0532,0.4551000000000016,25288704,8978432,4108160,269640,1365290,52,26678,8192
46,24.4061,0.3528999999999982,25288704,8978432,4114016,275496,1365290,52,26678,8192
47,24.7695,0.36340000000000217,25288704,8978432,4119848,281328,1365290,52,26678,8192
48,25.0836,0.3140999999999998,25288704,8978432,4125680,287160,1365290,52,26678,8192
49,25.5199,0.43629999999999924,25288704,8978432,4131536,293016,1365290,52,26678,8192
50,25.9353,0.41540000000000177,25288704,8978432,4137368,298848,1365290,52,26678,8192
51,26.817,0.8816999999999986,25288704,8978432,4143304,304784,1365290,52,26678,8192
52,27.3137,0.4967000000000006,25288704,8978432,4149136,310616,1365290,52,26678,8192
53,27.7392,0.42549999999999955,25288704,8978432,4154968,316448,1365290,52,26678,8192
54,28.0609,0.3216999999999999,25292800,8978432,4160888,322368,1365290,52,26678,8192
55,28.3495,0.28859999999999886,25292800,8978432,4166848,328328,1365290,52,26678,8192
56,28.7114,0.3619000000000021,25292800,8978432,4172632,334112,1365290,52,26678,8192
57,29.0668,0.3553999999999995,25300992,8978432,4178416,339896,1365290,52,26678,8192
58,29.4394,0.3725999999999985,25305088,8978432,4184312,345792,1365290,52,26678,8192
59,29.7418,0.3024000000000022,25309184,8978432,4190144,351624,1365290,52,26678,8192
60,30.152,0.4101999999999997,25317376,8978432,4195952,357432,1365290,52,26678,8192
61,30.524,0.3719999999999999,25317376,8978432,4201784,363264,1365290,52,26678,8192
62,30.9013,0.3772999999999982,25317376,8978432,4207648,369128,1365290,52,26678,8192
63,31.2882,0.3869000000000007,25317376,8978432,4213456,374936,1365290,52,26678,8192
64,31.7109,0.42269999999999897,25317376,8978432,4219240,380720,1365290,52,26678,8192
65,32.1727,0.4618000000000002,25317376,8978432,4225024,386504,1365290,52,26678,8192
66,32.4791,0.30640000000000356,25317376,8978432,4230832,392312,1365290,52,26678,8192
67,32.8186,0.339500000000001,25317376,8978432,4236696,398176,1365290,52,26678,8192
68,33.1328,0.3141999999999996,25321472,8978432,4242480,403960,1365290,52,26678,8192
69,33.3723,0.2394999999999996,25321472,8978432,4248336,409816,1365290,52,26678,8192
70,33.7191,0.34679999999999467,25321472,8978432,4254168,415648,1365290,52,26678,8192
71,34.0054,0.2863000000000042,25321472,8978432,4261832,423312,1365290,52,26678,8192
72,34.3652,0.3597999999999999,25321472,8978432,4267688,429168,1365290,52,26678,8192
73,34.757,0.3917999999999964,25321472,8978432,4273520,435000,1365290,52,26678,8192
74,35.103,0.34600000000000364,25321472,8978432,4279352,440832,1365290,52,26678,8192
75,35.4697,0.3667000000000016,25321472,8978432,4285208,446688,1365290,52,26678,8192
76,35.778,0.3082999999999956,25325568,8978432,4291040,452520,1365290,52,26678,8192
77,36.0844,0.30640000000000356,25325568,8978432,4296848,458328,1365290,52,26678,8192
78,36.4451,0.36069999999999425,25325568,8978432,4302616,464096,1365290,52,26678,8192
79,36.7575,0.3124000000000038,25325568,8978432,4308704,470184,1373482,8244,34870,16384
80,37.0362,0.2787000000000006,25325568,8978432,4314760,476240,1373482,8244,34870,16384
81,37.3196,0.2834000000000003,25325568,8978432,4320616,482096,1373482,8244,34870,16384
82,37.5998,0.28020000000000067,25325568,8978432,4326472,487952,1373482,8244,34870,16384
83,37.8533,0.2534999999999954,25325568,8978432,4332328,493808,1373482,8244,34870,16384
84,38.1085,0.2552000000000021,25325568,8978432,4338184,499664,1373482,8244,34870,16384
85,38.4227,0.3141999999999996,25325568,8978432,4344040,505520,1373482,8244,34870,16384
86,38.7343,0.31159999999999854,25325568,8978432,4349856,511336,1373482,8244,34870,16384
87,39.0483,0.31400000000000006,25325568,8978432,4355712,517192,1373482,8244,34870,16384
88,39.3672,0.3188999999999993,25325568,8978432,4361568,523048,1373482,8244,34870,16384
89,39.6699,0.3027000000000015,25325568,8978432,4367424,528904,1373482,8244,34870,16384
90,39.9522,0.28229999999999933,25325568,8978432,4373280,534760,1373482,8244,34870,16384
91,40.219,0.2668000000000035,25325568,8978432,4379136,540616,1373482,8244,34870,16384
92,40.5098,0.2907999999999973,25325568,8978432,4384992,546472,1373482,8244,34870,16384
93,40.7941,0.2843000000000018,25325568,8978432,4390848,552328,1373482,8244,34870,16384
94,41.0889,0.29480000000000217,25325568,8978432,4396704,558184,1373482,8244,34870,16384
95,41.3929,0.30399999999999494,25325568,8978432,4402560,564040,1373482,8244,34870,16384
96,41.765,0.3721000000000032,25325568,8978432,4408416,569896,1373482,8244,34870,16384
97,42.0244,0.2593999999999994,25325568,8978432,4414272,575752,1373482,8244,34870,16384
98,42.5927,0.5683000000000007,25325568,8978432,4420128,581608,1373482,8244,34870,16384
99,43.113,0.5202999999999989,25329664,8978432,4425984,587464,1373482,8244,34870,16384
100,43.4583,0.3453000000000017,25329664,8978432,4431912,593392,1373482,8244,34870,16384
101,43.9581,0.49980000000000047,25329664,8978432,4437792,599272,1373482,8244,34870,16384
