ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,externalGrowth,arrayBuffers,arrayBuffersGrowth
1,0,0,24457216,5828608,4029696,0,1396306,0,57734,0
2,3.6898,3.6898,25255936,8978432,3821680,0,1396358,52,18486,0
3,4.4793,0.7895000000000003,25268224,8978432,3833824,12144,1396358,52,18486,0
4,5.0887,0.6093999999999999,25268224,8978432,3841616,19936,1396358,52,18486,0
5,5.6559,0.5671999999999997,25272320,8978432,3849584,27904,1396358,52,18486,0
6,6.1996,0.5437000000000003,25272320,8978432,3857200,35520,1396358,52,18486,0
7,6.6919,0.4923000000000002,25272320,8978432,3863464,41784,1396358,52,18486,0
8,7.1782,0.48629999999999995,25272320,8978432,3870280,48600,1396358,52,18486,0
9,7.6501,0.47189999999999976,25272320,8978432,3877736,56056,1396358,52,18486,0
10,8.1366,0.4864999999999995,25288704,8978432,3884328,62648,1396358,52,18486,0
11,8.7635,0.6269000000000009,25288704,8978432,3890528,68848,1396358,52,18486,0
12,9.1625,0.39899999999999913,25288704,8978432,3896808,75128,1396358,52,18486,0
13,9.4962,0.33370000000000033,25288704,8978432,3902816,81136,1396358,52,18486,0
14,9.9029,0.4067000000000007,25288704,8978432,3909112,87432,1396358,52,18486,0
15,10.3676,0.4646999999999988,25288704,8978432,3915624,93944,1365290,52,26678,8192
16,10.822,0.4543999999999997,25288704,8978432,3922936,101256,1365290,52,26678,8192
17,11.2642,0.4422000000000015,25288704,8978432,3929616,107936,1365290,52,26678,8192
18,11.5969,0.3326999999999991,25288704,8978432,3935816,114136,1365290,52,26678,8192
19,11.9331,0.33619999999999983,25288704,8978432,3942104,120424,1365290,52,26678,8192
20,15.0503,3.1172000000000004,25292800,8978432,3948888,127208,1365290,52,26678,8192
21,15.5701,0.5198,25292800,8978432,3955680,134000,1365290,52,26678,8192
22,15.9259,0.35580000000000034,25292800,8978432,3962624,140944,1365290,52,26678,8192
23,16.3019,0.37599999999999945,25292800,8978432,3968880,147200,1365290,52,26678,8192
24,16.6496,0.3476999999999997,25292800,8978432,3975136,153456,1365290,52,26678,8192
25,16.9612,0.3116000000000021,25292800,8978432,3981672,159992,1365290,52,26678,8192
26,17.4158,0.4545999999999992,25292800,8978432,3987992,166312,1365290,52,26678,8192
27,17.767,0.3511999999999986,25292800,8978432,3994392,172712,1365290,52,26678,8192
28,18.2034,0.436399999999999,25292800,8978432,4000736,179056,1365290,52,26678,8192
29,18.8387,0.6353000000000009,25292800,8978432,4006992,185312,1365290,52,26678,8192
